6.000,"Scotch-Irish","N","N","N","N"
"B04004",67.000,"Scottish","N","N","N","N"
"B04004",68.000,"Serbian","N","N","N","N"
"B04004",69.000,"Slavic","N","N","N","N"
"B04004",70.000,"Slovak","N","N","N","N"
"B04004",71.000,"Slovene","N","N","N","N"
"B04004",72.000,"Soviet Union","N","N","N","N"
"B04004",73.000,"Subsaharan African:","N","N","N","N"
"B04004",74.000,"Cape Verdean","N","N","N","N"
"B04004",75.000,"Ethiopian","N","N","N","N"
"B04004",76.000,"Ghanian","N","N","N","N"
"B04004",77.000,"Kenyan","N","N"
