,"Korea","N","N","N","N"
"B05006",42.000,"Other Eastern Asia","N","N","N","N"
"B05006",43.000,"South Central Asia:","N","N","N","N"
"B05006",44.000,"Afghanistan","N","N","N","N"
"B05006",45.000,"Bangladesh","N","N","N","N"
"B05006",46.000,"India","N","N","N","N"
"B05006",47.000,"Iran","N","N","N","N"
"B05006",48.000,"Pakistan","N","N","N","N"
"B05006",49.000,"Other South Central Asia","N","N","N","N"
"B05006",50.000,"South Eastern Asia:","N","N","N","N"
"B05006",51.000,"Cambodia","N","N","N","N"
"B05006",52
