.000,"Indonesia","N","N","N","N"
"B05006",53.000,"Laos","N","N","N","N"
"B05006",54.000,"Philippines","N","N","N","N"
"B05006",55.000,"Thailand","N","N","N","N"
"B05006",56.000,"Vietnam","N","N","N","N"
"B05006",57.000,"Other South Eastern Asia","N","N","N","N"
"B05006",58.000,"Western Asia:","N","N","N","N"
"B05006",59.000,"Iraq","N","N","N","N"
"B05006",60.000,"Israel","N","N","N","N"
"B05006",61.000,"Lebanon","N","N","N","N"
"B05006",62.000,"Syria","N","N","N","N"
"B05006",63.000,"Turkey","N","N","N","N"
