.000,"In labor force:","N","N","N","N"
"B23002F",26.000,"In Armed Forces","N","N","N","N"
"B23002F",27.000,"Civilian:","N","N","N","N"
"B23002F",28.000,"Employed","N","N","N","N"
"B23002F",29.000,"Unemployed","N","N","N","N"
"B23002F",30.000,"Not in labor force","N","N","N","N"
"B23002F",31.000,"65 to 69 years:","N","N","N","N"
"B23002F",32.000,"In labor force:","N","N","N","N"
"B23002F",33.000,"Employed","N","N","N","N"
"B23002F",34.000,"Unemployed","N","N","N","N"
"B23002F",35.000,"Not in labor force","N"
