"
    "",             ""
"Line",         "2000"
    "",             ""
    "",             ""
    "",             ""
   "1",         229634
    "",             ""
   "2",         202409
    "",             ""
   "3",         178987
    "",             ""
   "4",          23422
   "5",            143
    "",             ""
   "6",           7055
   "7",           1713
   "8",           2703
    "",             ""
   "9",           2101
  "10",           9633
  "11",             74
    "
