47_PL2,,200343
241024,S07_PL2,,200344
241026,S08_PL2,,200345
241028,S09_PL2,,200346
240988,T12_PL2,,200347
240990,T13_PL2,,200348
241000,T21_PL2,,200349
241004,T28_PL2,,200350
241008,T30_PL2,,200351
241010,T34_PL2,,200352
241012,T42_PL2,,200353
240970,S19_PL3,,200354
240972,S20_PL3,,200355
240974,S23_PL3,,200356
240976,S41_PL3,,200357
240978,S42_PL3,,200358
240980,S43_PL3,,200359
240982,S44_PL3,,200360
241030,T07_PL3,,200361
241032,T08_PL3,,200362
241034,T11_PL3,,200363
241036,T12_PL3,,
