8.0,"30.0 to 34.9 percent","14.7%","3.4","5.1%","1.6","*"
"DP04",139.0,"35.0 percent or more","39.2%","3.8","42.0%","3.7",
"DP04",140.0,"Not computed","822","436","1,438","432",
"DP05",0.0,,,,,,
"DP05",0.5,,,,,,
"DP05",0.8,,,,,,
"DP05",1.0,"Total population","110,129","4,595","110,664","4,729",
"DP05",2.0,"Male","48.9%","1.2","46.0%","1.4",
"DP05",3.0,"Female","51.1%","1.2","54.0%","1.4",
"DP05",3.3,,,,,,
"DP05",4.0,"Under 5 years","3.9%","0.7","6.3%","1.2","*"
"DP05",5.0,"5 to 9 years","3.1%","0.8","6.2%",
