N","N","N","N","N"
"DP05",39.0,"Asian","2.3%","0.6","2.5%","0.6",
"DP05",40.0,"Asian Indian","N","N","N","N","N"
"DP05",41.0,"Chinese","N","N","N","N","N"
"DP05",42.0,"Filipino","N","N","N","N","N"
"DP05",43.0,"Japanese","N","N","N","N","N"
"DP05",44.0,"Korean","N","N","N","N","N"
"DP05",45.0,"Vietnamese","N","N","N","N","N"
"DP05",46.0,"Other Asian","N","N","N","N","N"
"DP05",47.0,"Native Hawaiian and Other Pacific Islander","0.0%","0.1","0.1%","0.1",
"DP05",48.0,"Native Hawaiian","N","N","N","N","N"
"DP05
