S0201","123","3,579,212","*****","238,743","+/-7,114"
"S0201","124","3,403,225","+/-6,449","N","N"
"S0201","125","49.1","+/-0.1","48.9","+/-0.9"
"S0201","126","50.9","+/-0.1","51.1","+/-0.9"
"S0201","127","175,987","+/-6,449","N","N"
"S0201","128","52.0","+/-1.4","N","N"
"S0201","129","48.0","+/-1.4","N","N"
"S0201","130","57,954","+/-3,788","N","N"
"S0201","131","47.6","+/-2.7","N","N"
"S0201","132","52.4","+/-2.7","N","N"
"S0201","133","118,033","+/-6,022","N","N"
"S0201","134","54.2","+/-1.9","N","N"
"S0
