","199","2.7","+/-0.2","1.2","+/-0.5"
"S0201","200","6.0","+/-0.3","4.1","+/-1.0"
"S0201","201","7.9","+/-0.3","6.8","+/-1.2"
"S0201","202","21.3","+/-0.6","23.5","+/-2.1"
"S0201","203","8.4","+/-0.3","9.4","+/-1.5"
"S0201","204","5.0","+/-0.3","4.5","+/-1.0"
"S0201","205","5.8","+/-0.3","7.8","+/-1.2"
,"205",,,,
,"206",,,,
"S0201","206","75.4","+/-0.5","74.0","+/-2.1"
"S0201","207","16.5","+/-0.4","19.6","+/-1.6"
"S0201","208","7.8","+/-0.3","6.3","+/-1.3"
"S0201","209","0.4","+/-0.1","0.1","+/-0.1"
,"209"
