tank, or LP gas","1.0%","0.2","N","N","N"
"DP04",64.0,"Electricity","32.2%","1.1","N","N","N"
"DP04",65.0,"Fuel oil, kerosene, etc.","0.1%","0.1","N","N","N"
"DP04",66.0,"Coal or coke","0.0%","0.1","N","N","N"
"DP04",67.0,"Wood","0.2%","0.1","N","N","N"
"DP04",68.0,"Solar energy","0.0%","0.1","N","N","N"
"DP04",69.0,"Other fuel","0.0%","0.1","N","N","N"
"DP04",70.0,"No fuel used","0.1%","0.1","N","N","N"
"DP04",70.3,,,,,,
"DP04",70.5,"SELECTED CHARACTERISTICS",,,,,
"DP04",71.0,"Occupied housing units","239,
