ation 1 year and over","100,596","269","101,884","271","*"
"DP02",78.0,"Same house","87.7%","1.5","89.6%","1.4",
"DP02",79.0,"Different house in the U.S.","12.1%","1.5","10.3%","1.4",
"DP02",80.0,"Same county","5.0%","1.2","3.7%","0.8",
"DP02",81.0,"Different county","7.1%","1.2","6.6%","1.0",
"DP02",82.0,"Same state","5.6%","1.1","5.9%","1.0",
"DP02",83.0,"Different state","1.5%","0.6","0.7%","0.2",
"DP02",84.0,"Abroad","0.2%","0.1","0.1%","0.1",
"DP02",84.3,,,,,,
"DP02",84.5,"PLACE OF BIRTH",,,,,
"DP02",8
