21.0,"35.0 percent or more","5.9%","1.4","6.2%","1.3",
"DP04",122.0,"Not computed","156","**","82","**",
"DP04",122.3,,,,,,
"DP04",122.5,"GROSS RENT",,,,,
"DP04",123.0,"Renter-occupied units","8,463","914","9,011","779",
"DP04",124.0,"Less than $200","5.4%","2.7","7.1%","2.9",
"DP04",125.0,"$200 to $299","11.2%","3.3","8.0%","3.9",
"DP04",126.0,"$300 to $499","18.5%","4.2","36.5%","6.0","*"
"DP04",127.0,"$500 to $749","23.8%","5.9","22.3%","4.9",
"DP04",128.0,"$750 to $999","6.7%","2.6","8.2%","2.6",
"DP04"
