8",- ,- ,- ,210,"1,420",18,-,,,,,,,,,
18 to 24 years ,"11,224",- ,- ,- ,10,394,"9,253","1,567",,,,,,,,,
25 years and over ,"6,170",- ,- ,- ,23,221,"1,838","4,088",,,,,,,,,
..Foreign born ,"3,494",96,18,104,164,188,"1,343","1,581",,,,,,,,,
3 to 5 years ,104,96,8,- ,- ,- ,- ,-,,,,,,,,,
6 to 13 years ,257,- ,10,104,124,19,- ,-,,,,,,,,,
14 to 17 years ,146,- ,- ,- ,36,96,14,-,,,,,,,,,
18 to 24 years ,"1,276",- ,- ,- ,- ,38,845,393,,,,,,,,,
25 years and over ,"1,711",- ,- ,- ,4,35,484,"1,188",,,,,,,,,
"
