us,
SALINITY INSTRUMENT,SEACAT SBE 19plus,

DETAILS,DEPTH,TEMP,SAL
UNITS,m,C,psu
DECIMAL PLACES,0,3,3
,0,4.359,6.129
,1,4.092,10.172
,2,3.427,18.658
,3,2.943,25.236
,4,2.486,30.56
,5,2.28,32.422
,6,2.19,33.283
,7,2.134,33.821
,8,2.1,34.099
,9,2.086,34.191
,10,2.082,34.215
,11,2.081,34.225



STATION,pl 10,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
69,0,24.36,N,33,2,2.82,E,5,27,2005

HEADERS,,,,,,,,,,
TIME,15,11,,zone+3,,,,,,
BOTTOM DEPTH,17,m,,,,,,,,
WINDDIR,230
