","123","5,842,713","*****","160,898","+/-1,779"
"S0201","124","5,649,023","+/-8,917","109,124","+/-4,489"
"S0201","125","48.7","+/-0.1","51.0","+/-1.7"
"S0201","126","51.3","+/-0.1","49.0","+/-1.7"
"S0201","127","193,690","+/-8,917","51,774","+/-4,482"
"S0201","128","51.0","+/-1.4","57.3","+/-2.8"
"S0201","129","49.0","+/-1.4","42.7","+/-2.8"
"S0201","130","86,405","+/-5,931","12,495","+/-1,787"
"S0201","131","49.5","+/-2.2","52.7","+/-6.3"
"S0201","132","50.5","+/-2.2","47.3","+/-6.3"
"S0201","133","107,2
