der 3 years,111,49,6,6,24,3,6,5,13
,With own children under 3 years,11,8,-,-,3,-,-,-,-
,Without own children under 1 year,121,56,6,6,27,3,6,5,13
,With own children under 1 year,1,1,-,-,-,-,-,-,-
,Without own children 3-5 years,113,50,6,6,26,3,6,5,12
,With own children 3-5 years,10,7,-,-,1,-,-,-,1
,Without own children 6-11 years,99,47,6,6,20,3,6,2,12
,With own children 6-11 years,23,10,-,-,7,-,-,3,1
,Without own children 12-17 years,96,41,4,4,23,3,5,5,12
,With own children 12-17 years,26,16,2,2,5,-
