0,000 or more","1,094","+/-310","3.2","+/-0.9"
"DP04",88.0,"Median (dollars)","441,600","+/-15,475","(X)","(X)"
"DP04",88.3,,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,,
"DP04",89.0,"Owner-occupied units","34,125","+/-2,032","100","(X)"
"DP04",90.0,"Housing units with a mortgage","N","N","100","(X)"
"DP04",91.0,"Less than $300","N","N","N","N"
"DP04",92.0,"$300 to $499","N","N","N","N"
"DP04",93.0,"$500 to $699","N","N","N","N"
"DP04",94.0,"$700 to $999","N","N","N","N"
"DP04",95.0
