rative support,"1,130",853,138,60,45,3,26,6
".Farming, fishing, and forestry",172,131,28,4,6,-,-,4
.Construction and extraction ,2086,1606,274,81,60,21,22,22
".Installation, maintenance, and repair","1,134",892,139,53,21,13,14,2
.Production,"1,437","1,107",217,62,28,4,12,8
.Transportation and material moving,"1,513","1,164",244,54,19,6,19,7
35 to 44 years,,,,,,,,
.Employed civilians,"18,456","15,988","1,441",533,186,80,148,81
".Management, business, and financial","3,281","2,899",199,98,28,12,36,10
.Profess
