 channels, crate 5 is 0
num drifted good channels, crate 6 is 2
num drifted good channels, crate 7 is 1
num drifted good channels, crate 8 is 1
num drifted good channels, crate 9 is 1
num drifted good channels, crate 10 is 2
num drifted good channels, crate 11 is 24
num drifted good channels, crate 12 is 0
num drifted good channels, crate 13 is 0
num drifted good channels, crate 14 is 1
num drifted good channels, crate 15 is 1
num drifted good channels, crate 16 is 0
num drifted good channels, crate 17 is 2
