  999.99     .766
     89.86   999.99     .775
     92.76   999.99     .797
     95.66   999.99     .788
     98.55   999.99     .793
    101.45   999.99     .797
    104.35   999.99     .804
    107.25   999.99     .808
    110.15   999.99     .811
    113.05   999.99     .822
    115.95   999.99     .828
    118.84   999.99     .833
    121.74   999.99     .839
    124.64   999.99     .851
    127.54   999.99     .909
    130.44   999.99     .909
    133.34   999.99     .914
    136.24   999.99     .920
 
