cal protein
SMT1660,NULL,1665477,1666433,Unknown
SMT1661,NULL,1667189,1666434,phenylalanyl-tRNA synthetase, beta subunit
SMT1662,NULL,1667847,1667338,acetyltransferase, GNAT family
SMT1663,NULL,1668935,1667847,phenylalanyl-tRNA synthetase, alpha subunit
SMT1664,NULL,NULL,NULL,conserved hypothetical protein
SMT1665,NULL,1670540,1671406,sugar ABC transporter, sugar-binding protein
SMT1666,NULL,1671490,1671663,N-acetylmannosamine-6-P epimerase, putative
SMT1667,NULL,1671682,1673199,PTS system, IIBC components
